ma_suno_pini_kiwen_kule kiwen_kule ma_suno_pini purple -8 1
ma_suno_pini_kiwen_kasi kiwen_kasi ma_suno_pini green -8 -4
ma_suno_pini_moku_soweliJ moku_soweli ma_suno_pini red -8 -2
ma_suno_pini_moku_soweliS moku_soweli ma_suno_pini red -6 0
ma_suno_pini_pan_jelo pan_jelo ma_suno_pini yellow -6 -4
ma_suno_pini_prazdny - ma_suno_pini white -6 -2

ma_insa_len_soweliV len_soweli ma_insa orange -4 -2
ma_insa_len_soweliZ len_soweli ma_insa orange 0 5
ma_insa_kiwen_kule kiwen_kule ma_insa purple -2 0
ma_insa_pan_jelo pan_jelo ma_insa yellow -2 -4
ma_insa_prazdnyZ - ma_insa white -4 4
ma_insa_prazdnyV - ma_insa white -4 1

ma_lete_kiwen_kule kiwen_kule ma_lete purple 4 2
ma_lete_pan_jelo pan_jelo ma_lete yellow 2 2
ma_lete_len_soweli len_soweli ma_lete orange 2 0
ma_lete_moku_soweli moku_soweli ma_lete red 4 5
ma_lete_prazdnyV - ma_lete white 0 -1
ma_lete_prazdnyZ - ma_lete white 0 1

ma_seli_kiwen_kasi kiwen_kasi ma_seli green 2 -2
ma_seli_kiwen_kule kiwen_kule ma_seli purple 2 -4
ma_seli_pan_jelo pan_jelo ma_seli yellow 0 -4
ma_seli_len_soweli len_soweli ma_seli orange 4 -2
ma_seli_prazdny - ma_seli white 4 0

ma_suno_open_pan_jelo pan_jelo ma_suno_open yellow 10 -2
ma_suno_open_prazdny - ma_suno_open white 6 -2
ma_suno_open_moku_soweli moku_soweli ma_suno_open red 6 2
ma_suno_open_kiwen_kasiV kiwen_kasi ma_suno_open green 8 0
ma_suno_open_kiwen_kasiZ kiwen_kasi ma_suno_open green 8 4

# cislovane od ma_suno_piniu
Ocean_Z1 - - blue -8 4
Ocean_Z2 - - blue -6 6
Ocean_Z3 - - blue -2 8
Ocean_Z4 - - blue 2 8
Ocean_Z5 - - blue 5 8
Ocean_Z6 - - blue 8 8
Ocean_Z7 - - blue 10 6
Ocean_V1 - - blue -7 -6
Ocean_V2 - - blue -4 -6
Ocean_V3 - - blue 0 -6


ma_suno_pini_kiwen_kule ma_suno_pini_moku_soweliJ
ma_suno_pini_moku_soweliJ ma_suno_pini_moku_soweliS
ma_suno_pini_moku_soweliJ ma_suno_pini_kiwen_kasi
ma_suno_pini_moku_soweliJ ma_suno_pini_pan_jelo
ma_suno_pini_moku_soweliS ma_suno_pini_prazdny
ma_suno_pini_prazdny ma_suno_pini_pan_jelo
ma_suno_pini_pan_jelo ma_suno_pini_kiwen_kasi

ma_insa_prazdnyV ma_suno_pini_moku_soweliS
ma_insa_prazdnyZ ma_suno_pini_moku_soweliS
ma_insa_len_soweliV ma_suno_pini_prazdny

ma_insa_pan_jelo ma_insa_len_soweliV
ma_insa_pan_jelo ma_insa_kiwen_kule
ma_insa_len_soweliV ma_insa_kiwen_kule
ma_insa_len_soweliV ma_insa_prazdnyV
ma_insa_kiwen_kule ma_insa_prazdnyV
ma_insa_kiwen_kule ma_insa_len_soweliZ
ma_insa_prazdnyV ma_insa_prazdnyZ
ma_insa_len_soweliZ ma_insa_prazdnyZ

ma_lete_moku_soweli ma_insa_len_soweliZ
ma_lete_prazdnyZ ma_insa_kiwen_kule
ma_lete_prazdnyV ma_insa_pan_jelo

ma_lete_prazdnyV ma_lete_prazdnyZ
ma_lete_prazdnyV ma_lete_len_soweli
ma_lete_prazdnyZ ma_lete_pan_jelo
ma_lete_pan_jelo ma_lete_len_soweli
ma_lete_pan_jelo ma_lete_kiwen_kule
ma_lete_pan_jelo ma_lete_moku_soweli
ma_lete_moku_soweli ma_lete_kiwen_kule

ma_seli_prazdny ma_lete_len_soweli

ma_seli_pan_jelo ma_seli_kiwen_kule
ma_seli_pan_jelo ma_seli_kiwen_kasi
ma_seli_kiwen_kule ma_seli_len_soweli
ma_seli_len_soweli ma_seli_kiwen_kasi
ma_seli_kiwen_kasi ma_seli_prazdny

ma_suno_open_prazdny ma_seli_len_soweli
ma_suno_open_moku_soweli ma_seli_prazdny
ma_suno_open_moku_soweli ma_lete_kiwen_kule

ma_suno_open_prazdny ma_suno_open_moku_soweli
ma_suno_open_prazdny ma_suno_open_kiwen_kasiV
ma_suno_open_prazdny ma_suno_open_pan_jelo
ma_suno_open_moku_soweli ma_suno_open_kiwen_kasiZ
ma_suno_open_kiwen_kasiZ ma_suno_open_kiwen_kasiV
ma_suno_open_kiwen_kasiV ma_suno_open_pan_jelo

Ocean_Z1 ma_suno_pini_kiwen_kule
Ocean_Z1 Ocean_Z2
Ocean_Z2 Ocean_Z3
Ocean_Z3 ma_insa_prazdnyZ
Ocean_Z3 Ocean_Z4
Ocean_Z4 Ocean_Z5
Ocean_Z5 ma_lete_moku_soweli
Ocean_Z5 Ocean_Z6
Ocean_Z6 Ocean_Z7
Ocean_Z6 ma_suno_open_moku_soweli
Ocean_Z7 ma_suno_open_kiwen_kasiZ
Ocean_Z7 ma_suno_open_pan_jelo
Ocean_V1 ma_suno_pini_kiwen_kasi
Ocean_V1 Ocean_V2
Ocean_V2 ma_suno_pini_pan_jelo
Ocean_V2 ma_insa_pan_jelo
Ocean_V2 Ocean_V3
Ocean_V3 ma_insa_pan_jelo
Ocean_V3 ma_seli_pan_jelo
Ocean_V3 ma_seli_kiwen_kule
